layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,trace_every
0,K,0.9879007711038961,0.008979301948051948,5.2916095151508136e-06,0.00018160169802049732,0.0008731858000497926,0.0,0.00013696074184535266,0.0,0.0,0.002338131693533513,0.20900974025974026,0.03381040511507686,0.0004596122530115694,7.239498782467533,32.091059697138796,0.0157518262987013,0.02731838474025974,0.9585531655844156,0.014128449675324676,0.008167613636363636,0.007178368506493506,0.3328679675242392,0.9879007711038961,0.00027901785714285713,3.324032297621363e-05,0.22353450402423933,14.486713866134743,0.0,0.0,1.0,0.0,0.0,1.0,0.012099228896103896,997418509.7660241,0.00035310982373739275,0.0,0.9921621347402597,76.24738269293488,0.016487418831168832,0.5687033913352273,0.0,0.0,5.0
0,O,0.9879768668831169,0.011541193181818182,3.041602948034377e-06,0.00011283269623754087,0.0004702455155527243,0.0,8.808430531833248e-05,0.0,0.0,0.0064880493548305634,0.08157467532467533,0.020627496637443274,3.803301045184366e-05,31.257990056818183,112.1513719434862,0.3717278814935065,0.005174512987012987,0.6396611201298701,0.35516436688311687,0.0022828733766233765,0.009664163961038962,0.30691607336985405,0.9879768668831169,0.0002536525974025974,3.2466362863960495e-05,0.20353301914481373,4.4587364498671,0.0,0.0,1.0,0.0,0.0,1.0,0.012023133116883116,1047293262.8615965,0.0001047854198178288,0.0,0.9926187094155844,199.43165419980818,0.012809456168831168,0.5557163783482143,0.0,0.0,5.0
0,Q,0.9879261363636364,0.009156858766233766,5.25323421302287e-06,0.00017808523998964675,0.0007786206393079324,0.0,0.00014775245621091347,0.0,0.0,0.002568642062652106,0.1832893668831169,0.024737858388863214,0.0001805046059215984,10.46494521103896,38.54562417562906,0.030463676948051948,0.012454342532467532,0.959770698051948,0.027774959415584416,0.007609577922077922,0.008243709415584416,0.2833833518580159,0.9879261363636364,0.00015219155844155844,3.3427931736117564e-05,0.20532010147323856,10.43168741851658,0.0,0.0,1.0,0.0,0.0,1.0,0.012073863636363636,1027292768.8852,0.00011666468836469304,0.0,0.992872362012987,84.62260616673089,0.016208400974025976,0.5528596159699676,0.0,0.0,5.0
0,V,0.9876724837662337,0.01176948051948052,3.35404443571211e-06,0.00013632734469440464,0.0004647800883326631,0.0,0.00010067668269832872,0.0,0.0,0.005779744246097692,0.09303977272727272,0.022813575033589068,5.7848147033883216e-05,16.457868303571427,67.54432737672484,0.15607244318181818,0.009030032467532468,0.8450943587662337,0.14587560876623376,0.0034496753246753245,0.008345170454545454,0.3649787625491426,0.9876724837662337,0.0003297483766233766,3.592441760985538e-05,0.24893756297888694,6.86077994340426,0.0,0.0,1.0,0.0,0.0,1.0,0.012327516233766234,1113749278.917933,0.00014383705887615212,0.0,0.9922382305194806,407.6923720604137,0.013266030844155844,0.5628582842938312,0.0,0.0,5.0
1,K,0.9881036931818182,0.009562702922077922,4.739150553732897e-06,0.0001864699324042621,0.0006601804332178715,0.0,0.00013834610997167016,0.0,0.0,0.0033432894636568457,0.16129768668831168,0.01828960570969389,0.00013980378479892032,15.090934456168831,95.21006715452516,0.0787591314935065,0.011389001623376624,0.9145698051948052,0.07404119318181818,0.007355925324675325,0.00786323051948052,0.29574923555959354,0.9881036931818182,0.00022828733766233766,3.1794168346284816e-05,0.22864252977169952,8.307020065072296,0.0,0.0,1.0,0.0,0.0,1.0,0.011896306818181818,951954156.8074424,0.00020743207025418392,0.0,0.9925933441558441,92.7200769885369,0.014990868506493506,0.49078131341314934,0.0,0.0,5.0
1,O,0.9881544237012987,0.011312905844155844,3.1531380807484616e-06,0.00011994832292858318,0.00047042103206085695,0.0,9.18003707892086e-05,0.0,0.0,0.006513762538012891,0.07934253246753246,0.020413770025910494,4.3858507793133455e-05,31.82340706168831,108.80226353236607,0.40079646915584416,0.004261363636363636,0.6109983766233766,0.3847402597402597,0.001750202922077922,0.010095373376623376,0.27930762389275643,0.9881544237012987,0.0001268262987012987,3.3785255833539516e-05,0.24399557787102538,4.8536870154467495,0.0,0.0,1.0,0.0,0.0,1.0,0.011845576298701298,1103869101.861129,0.00015606191646519088,0.0,0.9930499188311688,105.1266100402917,0.01273336038961039,0.5557163783482143,0.0,0.0,5.0
1,Q,0.9881036931818182,0.009106128246753246,5.019504530903394e-06,0.00019553171995386192,0.0007236829517385015,0.0,0.0001668232558208197,0.0,0.0,0.004395520969221441,0.1438971185064935,0.007689991758572385,1.3792059770343281e-05,19.889280641233768,166.39372907366072,0.10762479707792208,0.010856331168831168,0.88671875,0.10242491883116883,0.006518871753246753,0.010146103896103896,0.2642389697615396,0.9881036931818182,0.0003551136363636364,3.3576336419799474e-05,0.15060528543136723,3.498026525142131,0.0,0.0,1.0,0.0,0.0,1.0,0.011896306818181818,1123101283.817298,0.0002267227135122676,0.0,0.9932528409090909,191.95995777219215,0.015625,0.5932490361201299,0.0,0.0,5.0
1,V,0.9881036931818182,0.011389001623376624,3.0307448126565416e-06,0.0001075940308037861,0.00042759733427279666,0.0,9.772992756576035e-05,0.0,0.0,0.006059257323814363,0.0897169237012987,0.03543578261811584,5.845456121391444e-05,32.73906757305195,118.58306329900569,0.4140625,0.004768668831168831,0.5980874594155844,0.3971438717532468,0.003043831168831169,0.00870028409090909,0.36245943842358985,0.9881036931818182,0.00022828733766233766,3.269646729133999e-05,0.25093728332937537,6.309441656261296,0.0,0.0,1.0,0.0,0.0,1.0,0.011896306818181818,1114157782.1720827,9.052990485581533e-05,0.0,0.992288961038961,526.8013505357518,0.01263189935064935,0.5889638925527597,0.0,0.0,5.0
2,K,0.9879261363636364,0.00872564935064935,5.495502680244133e-06,0.00019914719469651775,0.0008620040380855563,0.0,0.0001575397461249838,0.0,0.0,0.002670147921134077,0.2530945616883117,0.02837722850645977,0.0003842324239834049,11.156681209415584,49.92587478439529,0.041015625,0.030565137987012988,0.9314630681818182,0.03797179383116883,0.007381290584415584,0.01174411525974026,0.24700218904158705,0.9879261363636364,7.609577922077922e-05,3.438157843695742e-05,0.26868193553059133,11.283404496002507,0.0,0.0,1.0,0.0,0.0,1.0,0.012073863636363636,1109523823.4182553,0.00043041806998596024,0.0,0.991984577922078,74.37792673511873,0.017096185064935064,0.5932490361201299,0.0,0.0,5.0
2,O,0.9879515016233766,0.01169338474025974,3.0877123332505687e-06,0.00011641958289229396,0.00043520773874365957,0.0,9.765317164036988e-05,0.0,0.0,0.007900431672830811,0.07366071428571429,0.02807305136645612,3.813082457191421e-05,34.535283076298704,107.50641899604302,0.46504667207792205,0.002612621753246753,0.5516183035714286,0.4457690746753247,0.0016741071428571428,0.011490462662337662,0.2584239314159064,0.9879515016233766,0.00022828733766233766,3.4336495233432074e-05,0.22044322261883115,3.2049403954297304,0.0,0.0,1.0,0.0,0.0,1.0,0.012048498376623376,1162994403.5251224,0.00013152305623605212,0.0,0.9920606737012987,117.40339985374526,0.01275872564935065,0.5658466289569806,0.0,0.0,5.0
