step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
20,1,5.371729,6.941432e-04,1.301518e-04,1.301518e-04,,,,,39.4
40,1,4.234036,1.388286e-03,2.603037e-04,2.603037e-04,,,,,76.2
60,1,4.101791,2.082430e-03,3.904555e-04,3.904555e-04,,,,,113.2
80,1,4.049195,2.776573e-03,5.206074e-04,5.206074e-04,,,,,150.3
100,1,3.968509,3.470716e-03,6.507592e-04,6.507592e-04,,,,,187.5
120,1,3.878811,4.164859e-03,7.809111e-04,7.809111e-04,,,,,224.9
140,1,3.173265,4.859002e-03,9.110629e-04,9.110629e-04,,,,,262.8
160,1,3.306883,5.553145e-03,1.041215e-03,1.041215e-03,,,,,301.1
180,1,2.226672,6.247289e-03,1.171367e-03,1.171367e-03,,,,,339.4
200,1,1.822227,6.941432e-03,1.301518e-03,1.301518e-03,,,,,377.5
220,1,2.999005,7.635575e-03,1.431670e-03,1.431670e-03,,,,,415.6
240,1,1.327589,8.329718e-03,1.561822e-03,1.561822e-03,,,,,453.9
260,1,1.721035,9.023861e-03,1.691974e-03,1.691974e-03,,,,,492.1
280,1,1.625447,9.718004e-03,1.822126e-03,1.822126e-03,,,,,530.2
300,1,2.369392,1.041215e-02,1.952278e-03,1.952278e-03,,,,,568.4
320,1,1.949235,1.110629e-02,2.082430e-03,2.082430e-03,,,,,606.3
340,1,2.613182,1.180043e-02,2.212581e-03,2.212581e-03,,,,,644.0
360,1,1.954808,1.249458e-02,2.342733e-03,2.342733e-03,,,,,681.7
380,1,2.649449,1.318872e-02,2.472885e-03,2.472885e-03,,,,,719.4
400,1,1.682464,1.388286e-02,2.603037e-03,2.603037e-03,,,,,757.0
420,1,1.411548,1.457701e-02,2.733189e-03,2.733189e-03,,,,,794.6
440,1,2.440541,1.527115e-02,2.863341e-03,2.863341e-03,,,,,832.4
460,1,1.541618,1.596529e-02,2.993492e-03,2.993492e-03,,,,,870.2
480,1,1.206632,1.596703e-02,2.993818e-03,2.993818e-03,,,,,908.0
500,1,1.203494,1.593232e-02,2.987310e-03,2.987310e-03,,,,,945.7
520,1,2.075515,1.589761e-02,2.980803e-03,2.980803e-03,,,,,983.3
540,1,1.552537,1.586291e-02,2.974295e-03,2.974295e-03,,,,,1020.9
560,1,1.760221,1.582820e-02,2.967787e-03,2.967787e-03,,,,,1058.4
580,1,1.616016,1.579349e-02,2.961280e-03,2.961280e-03,,,,,1096.0
600,1,1.388322,1.575879e-02,2.954772e-03,2.954772e-03,,,,,1133.5
620,1,1.713227,1.572408e-02,2.948265e-03,2.948265e-03,,,,,1171.1
640,1,1.261481,1.568937e-02,2.941757e-03,2.941757e-03,,,,,1208.6
660,1,1.589146,1.565466e-02,2.935249e-03,2.935249e-03,,,,,1246.3
680,1,1.440761,1.561996e-02,2.928742e-03,2.928742e-03,,,,,1283.8
700,1,1.390529,1.558525e-02,2.922234e-03,2.922234e-03,,,,,1321.9
720,1,1.736013,1.555054e-02,2.915727e-03,2.915727e-03,,,,,1359.6
740,1,1.408962,1.551584e-02,2.909219e-03,2.909219e-03,,,,,1397.1
760,1,1.845469,1.548113e-02,2.902711e-03,2.902711e-03,,,,,1434.6
780,1,1.484081,1.544642e-02,2.896204e-03,2.896204e-03,,,,,1472.2
800,1,1.608874,1.541171e-02,2.889696e-03,2.889696e-03,,,,,1509.7
820,1,1.916197,1.537701e-02,2.883189e-03,2.883189e-03,,,,,1547.1
840,1,1.076367,1.534230e-02,2.876681e-03,2.876681e-03,,,,,1584.6
860,1,1.328598,1.530759e-02,2.870174e-03,2.870174e-03,,,,,1622.1
