step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
20,1,5.372523,6.941432e-04,1.301518e-04,1.301518e-04,,,,,39.9
40,1,4.239105,1.388286e-03,2.603037e-04,2.603037e-04,,,,,77.1
60,1,4.113563,2.082430e-03,3.904555e-04,3.904555e-04,,,,,114.4
80,1,4.021365,2.776573e-03,5.206074e-04,5.206074e-04,,,,,151.6
100,1,3.972726,3.470716e-03,6.507592e-04,6.507592e-04,,,,,188.8
120,1,3.856805,4.164859e-03,7.809111e-04,7.809111e-04,,,,,226.3
140,1,3.200081,4.859002e-03,9.110629e-04,9.110629e-04,,,,,264.3
160,1,3.282012,5.553145e-03,1.041215e-03,1.041215e-03,,,,,302.6
180,1,2.172454,6.247289e-03,1.171367e-03,1.171367e-03,,,,,340.7
200,1,1.855237,6.941432e-03,1.301518e-03,1.301518e-03,,,,,378.7
220,1,2.995696,7.635575e-03,1.431670e-03,1.431670e-03,,,,,416.7
240,1,1.362131,8.329718e-03,1.561822e-03,1.561822e-03,,,,,454.9
260,1,1.701290,9.023861e-03,1.691974e-03,1.691974e-03,,,,,492.8
280,1,1.636641,9.718004e-03,1.822126e-03,1.822126e-03,,,,,530.9
300,1,2.372664,1.041215e-02,1.952278e-03,1.952278e-03,,,,,569.1
320,1,1.972432,1.110629e-02,2.082430e-03,2.082430e-03,,,,,607.2
340,1,2.608974,1.180043e-02,2.212581e-03,2.212581e-03,,,,,645.4
360,1,1.842049,1.249458e-02,2.342733e-03,2.342733e-03,,,,,683.5
380,1,2.564692,1.318872e-02,2.472885e-03,2.472885e-03,,,,,721.6
400,1,1.689669,1.388286e-02,2.603037e-03,2.603037e-03,,,,,759.7
420,1,1.372336,1.457701e-02,2.733189e-03,2.733189e-03,,,,,797.9
440,1,2.488004,1.527115e-02,2.863341e-03,2.863341e-03,,,,,836.0
460,1,1.589511,1.596529e-02,2.993492e-03,2.993492e-03,,,,,874.2
480,1,1.285131,1.596703e-02,2.993818e-03,2.993818e-03,,,,,912.1
500,1,1.224589,1.593232e-02,2.987310e-03,2.987310e-03,,,,,950.2
520,1,2.131951,1.589761e-02,2.980803e-03,2.980803e-03,,,,,988.2
540,1,1.489819,1.586291e-02,2.974295e-03,2.974295e-03,,,,,1026.1
560,1,1.651203,1.582820e-02,2.967787e-03,2.967787e-03,,,,,1063.9
580,1,1.630238,1.579349e-02,2.961280e-03,2.961280e-03,,,,,1101.7
600,1,1.364189,1.575879e-02,2.954772e-03,2.954772e-03,,,,,1139.5
620,1,1.723292,1.572408e-02,2.948265e-03,2.948265e-03,,,,,1177.4
640,1,1.209507,1.568937e-02,2.941757e-03,2.941757e-03,,,,,1215.1
660,1,1.670508,1.565466e-02,2.935249e-03,2.935249e-03,,,,,1253.0
680,1,1.471950,1.561996e-02,2.928742e-03,2.928742e-03,,,,,1290.9
700,1,1.405269,1.558525e-02,2.922234e-03,2.922234e-03,,,,,1329.2
720,1,1.801499,1.555054e-02,2.915727e-03,2.915727e-03,,,,,1367.0
740,1,1.332719,1.551584e-02,2.909219e-03,2.909219e-03,,,,,1404.8
760,1,1.945760,1.548113e-02,2.902711e-03,2.902711e-03,,,,,1442.7
780,1,1.564244,1.544642e-02,2.896204e-03,2.896204e-03,,,,,1480.4
800,1,1.661931,1.541171e-02,2.889696e-03,2.889696e-03,,,,,1518.1
820,1,1.657310,1.537701e-02,2.883189e-03,2.883189e-03,,,,,1555.8
840,1,1.176754,1.534230e-02,2.876681e-03,2.876681e-03,,,,,1593.5
860,1,1.422027,1.530759e-02,2.870174e-03,2.870174e-03,,,,,1631.2
880,1,1.630439,1.527289e-02,2.863666e-03,2.863666e-03,,,,,1669.2
900,1,1.563552,1.523818e-02,2.857158e-03,2.857158e-03,,,,,1707.3
920,1,1.822989,1.520347e-02,2.850651e-03,2.850651e-03,,,,,1745.2
940,1,1.986910,1.516876e-02,2.844143e-03,2.844143e-03,,,,,1783.5
960,1,1.757558,1.513406e-02,2.837636e-03,2.837636e-03,,,,,1821.4
980,1,1.273501,1.509935e-02,2.831128e-03,2.831128e-03,,,,,1859.5
1000,1,1.272494,1.506464e-02,2.824620e-03,2.824620e-03,,,,,1897.5
1020,1,1.472520,1.502993e-02,2.818113e-03,2.818113e-03,,,,,1935.5
1040,1,0.723927,1.499523e-02,2.811605e-03,2.811605e-03,,,,,1973.5
1060,1,1.350346,1.496052e-02,2.805098e-03,2.805098e-03,,,,,2011.5
1080,1,1.522628,1.492581e-02,2.798590e-03,2.798590e-03,,,,,2049.6
1100,1,1.477216,1.489111e-02,2.792082e-03,2.792082e-03,,,,,2087.6
1120,1,1.336077,1.485640e-02,2.785575e-03,2.785575e-03,,,,,2125.5
1140,1,1.191666,1.482169e-02,2.779067e-03,2.779067e-03,,,,,2163.3
1160,1,1.371621,1.478698e-02,2.772560e-03,2.772560e-03,,,,,2201.5
1180,1,1.648932,1.475228e-02,2.766052e-03,2.766052e-03,,,,,2239.1
1200,1,1.502603,1.471757e-02,2.759544e-03,2.759544e-03,,,,,2276.8
