layer_idx,sublayer,io_bits
0,FFN1,10
0,FFN2,5
0,K,7
0,O,5
0,Q,7
0,V,7
1,FFN1,10
1,FFN2,5
1,K,7
1,O,5
1,Q,7
1,V,7
2,FFN1,10
2,FFN2,5
2,K,7
2,O,5
2,Q,7
2,V,7
3,FFN1,10
3,FFN2,5
3,K,7
3,O,6
3,Q,7
3,V,7
4,FFN1,10
4,FFN2,5
4,K,8
4,O,6
4,Q,7
4,V,7
5,FFN1,9
5,FFN2,5
5,K,8
5,O,6
5,Q,8
5,V,7
6,FFN1,9
6,FFN2,5
6,K,8
6,O,5
6,Q,8
6,V,7
7,FFN1,10
7,FFN2,5
7,K,9
7,O,5
7,Q,8
7,V,8
8,FFN1,9
8,FFN2,5
8,K,8
8,O,5
8,Q,8
8,V,7
9,FFN1,9
9,FFN2,5
9,K,8
9,O,5
9,Q,7
9,V,7
10,FFN1,9
10,FFN2,5
10,K,8
10,O,5
10,Q,7
10,V,8
11,FFN1,8
11,FFN2,5
11,K,8
11,O,5
11,Q,8
11,V,7
