layer_idx,sublayer,io_bits
0,FFN1,12
0,FFN2,8
0,K,10
0,O,8
0,Q,9
0,V,10
1,FFN1,12
1,FFN2,8
1,K,10
1,O,8
1,Q,10
1,V,10
2,FFN1,12
2,FFN2,8
2,K,11
2,O,8
2,Q,12
2,V,11
3,FFN1,12
3,FFN2,8
3,K,10
3,O,8
3,Q,10
3,V,10
4,FFN1,12
4,FFN2,8
4,K,11
4,O,8
4,Q,10
4,V,10
5,FFN1,12
5,FFN2,8
5,K,11
5,O,8
5,Q,11
5,V,10
6,FFN1,12
6,FFN2,8
6,K,11
6,O,8
6,Q,11
6,V,10
7,FFN1,12
7,FFN2,8
7,K,12
7,O,8
7,Q,11
7,V,11
8,FFN1,12
8,FFN2,8
8,K,11
8,O,8
8,Q,11
8,V,10
9,FFN1,12
9,FFN2,8
9,K,12
9,O,8
9,Q,10
9,V,11
10,FFN1,12
10,FFN2,8
10,K,12
10,O,8
10,Q,10
10,V,11
11,FFN1,12
11,FFN2,8
11,K,12
11,O,8
11,Q,11
11,V,11
