layer_idx,sublayer,io_bits
0,FFN1,4
0,FFN2,5
0,K,7
0,O,5
0,Q,6
0,V,6
1,FFN1,4
1,FFN2,5
1,K,7
1,O,5
1,Q,7
1,V,7
2,FFN1,9
2,FFN2,5
2,K,7
2,O,5
2,Q,6
2,V,7
3,FFN1,9
3,FFN2,5
3,K,7
3,O,5
3,Q,6
3,V,7
4,FFN1,9
4,FFN2,5
4,K,7
4,O,5
4,Q,7
4,V,7
5,FFN1,9
5,FFN2,5
5,K,7
5,O,5
5,Q,7
5,V,7
6,FFN1,9
6,FFN2,5
6,K,7
6,O,5
6,Q,7
6,V,7
7,FFN1,9
7,FFN2,5
7,K,8
7,O,5
7,Q,7
7,V,7
8,FFN1,9
8,FFN2,5
8,K,8
8,O,5
8,Q,7
8,V,7
9,FFN1,9
9,FFN2,5
9,K,8
9,O,5
9,Q,7
9,V,7
10,FFN1,8
10,FFN2,5
10,K,8
10,O,5
10,Q,7
10,V,7
11,FFN1,8
11,FFN2,5
11,K,7
11,O,5
11,Q,7
11,V,7
