layer_idx,sublayer,io_bits
0,FFN1,12
0,FFN2,6
0,K,8
0,O,6
0,Q,7
0,V,8
1,FFN1,12
1,FFN2,6
1,K,8
1,O,6
1,Q,8
1,V,8
2,FFN1,11
2,FFN2,6
2,K,8
2,O,6
2,Q,8
2,V,8
3,FFN1,11
3,FFN2,6
3,K,8
3,O,7
3,Q,8
3,V,8
4,FFN1,11
4,FFN2,6
4,K,9
4,O,6
4,Q,8
4,V,8
5,FFN1,11
5,FFN2,6
5,K,9
5,O,6
5,Q,9
5,V,8
6,FFN1,11
6,FFN2,6
6,K,9
6,O,6
6,Q,9
6,V,8
7,FFN1,11
7,FFN2,6
7,K,9
7,O,6
7,Q,9
7,V,9
8,FFN1,11
8,FFN2,6
8,K,9
8,O,6
8,Q,8
8,V,8
9,FFN1,10
9,FFN2,6
9,K,9
9,O,6
9,Q,8
9,V,8
10,FFN1,10
10,FFN2,6
10,K,9
10,O,6
10,Q,8
10,V,9
11,FFN1,9
11,FFN2,6
11,K,9
11,O,6
11,Q,9
11,V,8
