figure_id,run_tag,layer_name,layer_idx,sublayer,variant,dac_bits,adc_bits,inp_bound,inp_res,res_ratio,step_size,nm_thres,sto_round,EZR,QZR_all,QZR_nonzero,ODR,cosine_sim,l2_retention,rel_l2_error,clip_rate_scaled,ratio_q50,ratio_q90,ratio_q99,p_clip,absmax_q50,absmax_q90,absmax_q99,absmax_q999,EZR_pad,QZR_all_pad,task,seed
B,glue_v1,bert.encoder.layer.0.intermediate.dense,0,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.3620026308298111,0.8425805693864823,0.7533001261949539,715730.63140625,0.9452720803022384,1.0329793870449067,0.3321338912844658,0.0,0.006045401168521493,0.10282910376787185,0.34908304154872893,8.249357279055403e-07,0.0297485938295722,0.11386927954852581,0.32825885437428953,0.5081141328811646,0.5816266286373138,0.896743546128273,cola,44
B,glue_v1,bert.encoder.layer.0.output.dense,0,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.10004814691841603,0.2991274121403694,0.22120973840355873,6.6388229608535765,0.9887688660621643,1.0114257335662842,0.14952416896820067,0.0,0.1538747575879097,0.4529623007774353,0.7675401097536088,0.0,0.02268382700625807,0.08048354540020228,0.19425404138863087,0.2627594131976366,0.4101486112177372,0.5406032440066337,cola,44
B,glue_v1,bert.encoder.layer.0.attention.self.key,0,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.0,0.6578910839557648,0.6578910839557648,28.975915813446044,0.9619497162103653,1.0238388586044311,0.27592471390962603,0.0,0.04178384628146887,0.2021691843867302,0.5819090878963471,2.504006552044302e-06,0.034141599973663686,0.11407714311033487,0.2541672182828188,0.3392866653949022,0.34457710072398184,0.7757224786281586,cola,44
B,glue_v1,bert.encoder.layer.0.attention.output.dense,0,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09983933694660664,0.29402758747339247,0.21572573602199555,6.495203590393066,0.988559450507164,1.0116745126247406,0.1509151928126812,0.0,0.15595055639743804,0.4470090234279633,0.7590524464845657,6.237191504624207e-05,0.043934182496741414,0.1769676549732685,0.5085706451535225,0.7642620122432708,0.4100204873085022,0.5372410491108894,cola,44
B,glue_v1,bert.encoder.layer.0.attention.self.query,0,Q,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,8.865247946232557e-06,0.5037431460618973,0.503738728761673,15.216009883880615,0.9678920084238052,1.027031718492508,0.2522908143699169,0.0,0.07069861583411693,0.2663285614550114,0.6193217998743057,1.9426338167249925e-06,0.0148736314708367,0.0720442684739828,0.23655479848384858,0.3899273426830769,0.3445825831592083,0.6750140398740768,cola,44
B,glue_v1,bert.encoder.layer.0.attention.self.value,0,V,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.000784640509809833,0.5567424190044403,0.5563927662372589,19.700668296813966,0.967028734087944,1.0250121986865997,0.25541586518287657,0.0,0.059493238776922225,0.2529525004327297,0.6205741024017334,2.5826720921031666e-05,0.07697271112352609,0.26289223320782185,0.6184112665057182,0.8191765259206295,0.3450897811353207,0.709697767496109,cola,44
B,glue_v1,bert.encoder.layer.1.intermediate.dense,1,FFN1,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.39157493621110917,0.852001616358757,0.7567799866199494,1000254.6965625,0.9540296506881714,1.0297117042541504,0.3022486236691475,0.0,0.002959893363295123,0.10516430802643299,0.3778931230306625,1.2696596672867598e-06,0.021107298443093895,0.08511650456115603,0.31032359749078753,0.5496592485904693,0.60101443618536,0.9028668642044068,cola,44
B,glue_v1,bert.encoder.layer.1.output.dense,1,FFN2,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09990480072796344,0.300896033346653,0.22329886958003045,6.758483548164367,0.9878805041313171,1.0119630241394042,0.15260253980755806,0.0,0.1538905993103981,0.45263293355703355,0.764589746594429,0.0,0.014706756342202426,0.05176768375560641,0.1488656948879361,0.22457076840102672,0.4100571343302727,0.5417692318558693,cola,44
B,glue_v1,bert.encoder.layer.1.attention.self.key,1,K,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.0,0.741556282043457,0.741556282043457,40.135442123413085,0.9553114956617356,1.0232992219924926,0.2992241632938385,0.0,0.029487305581569673,0.15502984464168548,0.5331527796387673,0.0,0.01929646751843393,0.06439073126763105,0.1372976365685463,0.18396421249955894,0.34457710072398184,0.8308377516269684,cola,44
B,glue_v1,bert.encoder.layer.1.attention.output.dense,1,O,sweep,4,4,1.0,0.07142857142857142,0.07142857142857142,0.14285714285714285,0.0,False,0.09981489419937134,0.29802497774362563,0.2201872083544731,6.645328269004822,0.9880431920289994,1.0121277213096618,0.15332867696881294,0.0,0.15363979071378708,0.44422740668058397,0.7572464007139206,1.638235659811471e-05,0.02767382758669555,0.12501863606274127,0.40595831722021103,0.6555736589431763,0.40999323591589926,0.5399262550473213,cola,44
