layer_idx,sublayer,layer_name,ratio,cdf
11,K,bert.encoder.layer.11.attention.self.key,3.764450973164912e-09,5e-06
11,K,bert.encoder.layer.11.attention.self.key,2.0055542790942127e-06,0.000505
11,K,bert.encoder.layer.11.attention.self.key,4.040276053274283e-06,0.001005
11,K,bert.encoder.layer.11.attention.self.key,6.220942850632127e-06,0.001505
11,K,bert.encoder.layer.11.attention.self.key,8.951050403993577e-06,0.002005
11,K,bert.encoder.layer.11.attention.self.key,1.1236164027650375e-05,0.002505
11,K,bert.encoder.layer.11.attention.self.key,1.3862613741366658e-05,0.003005
11,K,bert.encoder.layer.11.attention.self.key,1.664947922108695e-05,0.003505
11,K,bert.encoder.layer.11.attention.self.key,1.877955401141662e-05,0.004005
11,K,bert.encoder.layer.11.attention.self.key,2.1741805539932102e-05,0.004505
11,K,bert.encoder.layer.11.attention.self.key,2.4506540285074152e-05,0.005005
11,K,bert.encoder.layer.11.attention.self.key,2.6981006158166565e-05,0.005505
11,K,bert.encoder.layer.11.attention.self.key,3.0376984796021134e-05,0.006005
11,K,bert.encoder.layer.11.attention.self.key,3.3381747925886884e-05,0.006505
11,K,bert.encoder.layer.11.attention.self.key,3.636461769929156e-05,0.007005
11,K,bert.encoder.layer.11.attention.self.key,3.9086069591576234e-05,0.007505
11,K,bert.encoder.layer.11.attention.self.key,4.2297542677260935e-05,0.008005
11,K,bert.encoder.layer.11.attention.self.key,4.486462057684548e-05,0.008505
11,K,bert.encoder.layer.11.attention.self.key,4.7663193981861696e-05,0.009005
11,K,bert.encoder.layer.11.attention.self.key,5.077966852695681e-05,0.009505
11,K,bert.encoder.layer.11.attention.self.key,5.408780270954594e-05,0.010005
11,K,bert.encoder.layer.11.attention.self.key,5.724593938793987e-05,0.01051
11,K,bert.encoder.layer.11.attention.self.key,6.059329825802706e-05,0.01101
11,K,bert.encoder.layer.11.attention.self.key,6.375120574375615e-05,0.01151
11,K,bert.encoder.layer.11.attention.self.key,6.7210836277809e-05,0.01201
11,K,bert.encoder.layer.11.attention.self.key,7.041480421321467e-05,0.01251
11,K,bert.encoder.layer.11.attention.self.key,7.407580415019765e-05,0.01301
11,K,bert.encoder.layer.11.attention.self.key,7.772906974423677e-05,0.01351
11,K,bert.encoder.layer.11.attention.self.key,8.098199759842828e-05,0.01401
11,K,bert.encoder.layer.11.attention.self.key,8.474387868773192e-05,0.01451
11,K,bert.encoder.layer.11.attention.self.key,8.849811274558306e-05,0.01501
11,K,bert.encoder.layer.11.attention.self.key,9.218959166901186e-05,0.01551
11,K,bert.encoder.layer.11.attention.self.key,9.575028525432572e-05,0.01601
11,K,bert.encoder.layer.11.attention.self.key,9.951768879545853e-05,0.01651
11,K,bert.encoder.layer.11.attention.self.key,0.00010300198482582346,0.01701
11,K,bert.encoder.layer.11.attention.self.key,0.00010721054422901943,0.01751
11,K,bert.encoder.layer.11.attention.self.key,0.00011102021380793303,0.01801
11,K,bert.encoder.layer.11.attention.self.key,0.00011503564746817574,0.01851
11,K,bert.encoder.layer.11.attention.self.key,0.00011908067244803533,0.01901
11,K,bert.encoder.layer.11.attention.self.key,0.00012357864761725068,0.01951
11,K,bert.encoder.layer.11.attention.self.key,0.00012788627645932138,0.02001
11,K,bert.encoder.layer.11.attention.self.key,0.00013222484267316759,0.020515
11,K,bert.encoder.layer.11.attention.self.key,0.00013725973258260638,0.021015
11,K,bert.encoder.layer.11.attention.self.key,0.00014124960580375046,0.021515
11,K,bert.encoder.layer.11.attention.self.key,0.000145437938044779,0.022015
11,K,bert.encoder.layer.11.attention.self.key,0.00014896856737323105,0.022515
11,K,bert.encoder.layer.11.attention.self.key,0.00015369450557045639,0.023015
11,K,bert.encoder.layer.11.attention.self.key,0.00015852414071559906,0.023515
11,K,bert.encoder.layer.11.attention.self.key,0.0001628808386158198,0.024015
11,K,bert.encoder.layer.11.attention.self.key,0.00016745277389418334,0.024515
11,K,bert.encoder.layer.11.attention.self.key,0.00017157141701318324,0.025015
11,K,bert.encoder.layer.11.attention.self.key,0.00017590750940144062,0.025515
11,K,bert.encoder.layer.11.attention.self.key,0.00017923513951245695,0.026015
11,K,bert.encoder.layer.11.attention.self.key,0.00018339167581871152,0.026515
11,K,bert.encoder.layer.11.attention.self.key,0.00018738715152721852,0.027015
11,K,bert.encoder.layer.11.attention.self.key,0.00019250181503593922,0.027515
11,K,bert.encoder.layer.11.attention.self.key,0.00019726566097233444,0.028015
11,K,bert.encoder.layer.11.attention.self.key,0.00020137979299761355,0.028515
11,K,bert.encoder.layer.11.attention.self.key,0.0002060809056274593,0.029015
11,K,bert.encoder.layer.11.attention.self.key,0.0002104888844769448,0.029515
11,K,bert.encoder.layer.11.attention.self.key,0.00021452295186463743,0.030015
11,K,bert.encoder.layer.11.attention.self.key,0.00021945509070064873,0.03052
11,K,bert.encoder.layer.11.attention.self.key,0.00022467215603683144,0.03102
11,K,bert.encoder.layer.11.attention.self.key,0.00022993391030468047,0.03152
11,K,bert.encoder.layer.11.attention.self.key,0.0002344440872548148,0.03202
11,K,bert.encoder.layer.11.attention.self.key,0.00023918533406686038,0.03252
11,K,bert.encoder.layer.11.attention.self.key,0.0002442785771563649,0.03302
11,K,bert.encoder.layer.11.attention.self.key,0.00024881245917640626,0.03352
11,K,bert.encoder.layer.11.attention.self.key,0.0002526871976442635,0.03402
11,K,bert.encoder.layer.11.attention.self.key,0.00025742631987668574,0.03452
11,K,bert.encoder.layer.11.attention.self.key,0.0002625581109896302,0.03502
11,K,bert.encoder.layer.11.attention.self.key,0.00026690505910664797,0.03552
11,K,bert.encoder.layer.11.attention.self.key,0.0002706466766539961,0.03602
11,K,bert.encoder.layer.11.attention.self.key,0.0002751050051301718,0.03652
11,K,bert.encoder.layer.11.attention.self.key,0.0002803441311698407,0.03702
11,K,bert.encoder.layer.11.attention.self.key,0.0002861180400941521,0.03752
11,K,bert.encoder.layer.11.attention.self.key,0.00029031888698227704,0.03802
11,K,bert.encoder.layer.11.attention.self.key,0.00029491755412891507,0.03852
11,K,bert.encoder.layer.11.attention.self.key,0.0002994503010995686,0.03902
11,K,bert.encoder.layer.11.attention.self.key,0.000303490407532081,0.03952
11,K,bert.encoder.layer.11.attention.self.key,0.0003075171844102442,0.04002
11,K,bert.encoder.layer.11.attention.self.key,0.0003127148374915123,0.040525
11,K,bert.encoder.layer.11.attention.self.key,0.00031714874785393476,0.041025
11,K,bert.encoder.layer.11.attention.self.key,0.0003217949706595391,0.041525
11,K,bert.encoder.layer.11.attention.self.key,0.0003270910819992423,0.042025
11,K,bert.encoder.layer.11.attention.self.key,0.00033221516059711576,0.042525
11,K,bert.encoder.layer.11.attention.self.key,0.00033814748167060316,0.043025
11,K,bert.encoder.layer.11.attention.self.key,0.00034346949541941285,0.043525
11,K,bert.encoder.layer.11.attention.self.key,0.00034891447285190225,0.044025
11,K,bert.encoder.layer.11.attention.self.key,0.00035327745717950165,0.044525
11,K,bert.encoder.layer.11.attention.self.key,0.00035801983904093504,0.045025
11,K,bert.encoder.layer.11.attention.self.key,0.0003635123139247298,0.045525
11,K,bert.encoder.layer.11.attention.self.key,0.0003691256861202419,0.046025
11,K,bert.encoder.layer.11.attention.self.key,0.0003746613801922649,0.046525
11,K,bert.encoder.layer.11.attention.self.key,0.00038030464202165604,0.047025
11,K,bert.encoder.layer.11.attention.self.key,0.00038483418757095933,0.047525
11,K,bert.encoder.layer.11.attention.self.key,0.0003901426389347762,0.048025
11,K,bert.encoder.layer.11.attention.self.key,0.0003951280377805233,0.048525
11,K,bert.encoder.layer.11.attention.self.key,0.00040053119300864637,0.049025
11,K,bert.encoder.layer.11.attention.self.key,0.0004055235185660422,0.049525
11,K,bert.encoder.layer.11.attention.self.key,0.0004111057205591351,0.050025
11,K,bert.encoder.layer.11.attention.self.key,0.00041705070179887116,0.05053
11,K,bert.encoder.layer.11.attention.self.key,0.0004228197503834963,0.05103
11,K,bert.encoder.layer.11.attention.self.key,0.0004291945951990783,0.05153
11,K,bert.encoder.layer.11.attention.self.key,0.0004350966482888907,0.05203
11,K,bert.encoder.layer.11.attention.self.key,0.00043973143328912556,0.05253
11,K,bert.encoder.layer.11.attention.self.key,0.0004451058921404183,0.05303
11,K,bert.encoder.layer.11.attention.self.key,0.00045058567775413394,0.05353
11,K,bert.encoder.layer.11.attention.self.key,0.00045589832006953657,0.05403
11,K,bert.encoder.layer.11.attention.self.key,0.00046108243986964226,0.05453
11,K,bert.encoder.layer.11.attention.self.key,0.0004664231382776052,0.05503
11,K,bert.encoder.layer.11.attention.self.key,0.000471395265776664,0.05553
11,K,bert.encoder.layer.11.attention.self.key,0.00047654646914452314,0.05603
11,K,bert.encoder.layer.11.attention.self.key,0.0004815206630155444,0.05653
11,K,bert.encoder.layer.11.attention.self.key,0.0004865058872383088,0.05703
11,K,bert.encoder.layer.11.attention.self.key,0.0004929626011289656,0.05753
11,K,bert.encoder.layer.11.attention.self.key,0.0004995614872314036,0.05803
11,K,bert.encoder.layer.11.attention.self.key,0.0005044619902037084,0.05853
11,K,bert.encoder.layer.11.attention.self.key,0.0005100899725221097,0.05903
11,K,bert.encoder.layer.11.attention.self.key,0.00051530433120206,0.05953
11,K,bert.encoder.layer.11.attention.self.key,0.000521038775332272,0.06003
11,K,bert.encoder.layer.11.attention.self.key,0.000526354240719229,0.06053
11,K,bert.encoder.layer.11.attention.self.key,0.0005311236600391567,0.061035
11,K,bert.encoder.layer.11.attention.self.key,0.0005366656114347279,0.061535
11,K,bert.encoder.layer.11.attention.self.key,0.0005422771209850907,0.062035
11,K,bert.encoder.layer.11.attention.self.key,0.0005479619721882045,0.062535
11,K,bert.encoder.layer.11.attention.self.key,0.0005547056207433343,0.063035
11,K,bert.encoder.layer.11.attention.self.key,0.0005597025156021118,0.063535
11,K,bert.encoder.layer.11.attention.self.key,0.0005653225816786289,0.064035
11,K,bert.encoder.layer.11.attention.self.key,0.0005718743777833879,0.064535
11,K,bert.encoder.layer.11.attention.self.key,0.0005772332660853863,0.065035
11,K,bert.encoder.layer.11.attention.self.key,0.0005823525134474039,0.065535
11,K,bert.encoder.layer.11.attention.self.key,0.0005877310177311301,0.066035
11,K,bert.encoder.layer.11.attention.self.key,0.0005952651845291257,0.066535
11,K,bert.encoder.layer.11.attention.self.key,0.000602741667535156,0.067035
11,K,bert.encoder.layer.11.attention.self.key,0.0006082963082008064,0.067535
11,K,bert.encoder.layer.11.attention.self.key,0.0006141705089248717,0.068035
11,K,bert.encoder.layer.11.attention.self.key,0.0006207097903825343,0.068535
11,K,bert.encoder.layer.11.attention.self.key,0.0006264190305955708,0.069035
11,K,bert.encoder.layer.11.attention.self.key,0.0006320784450508654,0.069535
11,K,bert.encoder.layer.11.attention.self.key,0.000638321740552783,0.070035
11,K,bert.encoder.layer.11.attention.self.key,0.0006450891378335655,0.070535
11,K,bert.encoder.layer.11.attention.self.key,0.0006528366939164698,0.07104
11,K,bert.encoder.layer.11.attention.self.key,0.0006580395856872201,0.07154
11,K,bert.encoder.layer.11.attention.self.key,0.0006642125081270933,0.07204
11,K,bert.encoder.layer.11.attention.self.key,0.0006702513783238828,0.07254
11,K,bert.encoder.layer.11.attention.self.key,0.0006759767420589924,0.07304
11,K,bert.encoder.layer.11.attention.self.key,0.0006822930881753564,0.07354
11,K,bert.encoder.layer.11.attention.self.key,0.0006879844004288316,0.07404
11,K,bert.encoder.layer.11.attention.self.key,0.0006944877677597106,0.07454
11,K,bert.encoder.layer.11.attention.self.key,0.0007010105182416737,0.07504
11,K,bert.encoder.layer.11.attention.self.key,0.0007071452564559877,0.07554
11,K,bert.encoder.layer.11.attention.self.key,0.0007133891922421753,0.07604
11,K,bert.encoder.layer.11.attention.self.key,0.0007210464682430029,0.07654
11,K,bert.encoder.layer.11.attention.self.key,0.0007274922681972384,0.07704
