step,epoch,loss,analog_lr,classifier_lr,ln_lr,f1,em,f1_c_only,em_c_only,wall_time_s
20,1,5.368502,6.941432e-04,1.301518e-04,1.301518e-04,,,,,39.1
40,1,4.238501,1.388286e-03,2.603037e-04,2.603037e-04,,,,,76.0
60,1,4.114949,2.082430e-03,3.904555e-04,3.904555e-04,,,,,112.9
80,1,4.038618,2.776573e-03,5.206074e-04,5.206074e-04,,,,,150.7
100,1,3.968492,3.470716e-03,6.507592e-04,6.507592e-04,,,,,188.1
120,1,3.924866,4.164859e-03,7.809111e-04,7.809111e-04,,,,,225.8
140,1,3.230452,4.859002e-03,9.110629e-04,9.110629e-04,,,,,263.9
160,1,3.196567,5.553145e-03,1.041215e-03,1.041215e-03,,,,,302.1
180,1,2.226578,6.247289e-03,1.171367e-03,1.171367e-03,,,,,340.2
200,1,1.830403,6.941432e-03,1.301518e-03,1.301518e-03,,,,,378.1
220,1,3.065491,7.635575e-03,1.431670e-03,1.431670e-03,,,,,416.3
240,1,1.345420,8.329718e-03,1.561822e-03,1.561822e-03,,,,,454.2
260,1,1.696769,9.023861e-03,1.691974e-03,1.691974e-03,,,,,492.1
280,1,1.633485,9.718004e-03,1.822126e-03,1.822126e-03,,,,,530.2
300,1,2.311960,1.041215e-02,1.952278e-03,1.952278e-03,,,,,568.1
320,1,1.889572,1.110629e-02,2.082430e-03,2.082430e-03,,,,,606.2
340,1,2.538124,1.180043e-02,2.212581e-03,2.212581e-03,,,,,644.1
360,1,1.922361,1.249458e-02,2.342733e-03,2.342733e-03,,,,,682.0
380,1,2.602875,1.318872e-02,2.472885e-03,2.472885e-03,,,,,719.9
400,1,1.754354,1.388286e-02,2.603037e-03,2.603037e-03,,,,,757.8
420,1,1.383344,1.457701e-02,2.733189e-03,2.733189e-03,,,,,795.7
440,1,2.570054,1.527115e-02,2.863341e-03,2.863341e-03,,,,,833.6
460,1,1.521448,1.596529e-02,2.993492e-03,2.993492e-03,,,,,871.6
480,1,1.252161,1.596703e-02,2.993818e-03,2.993818e-03,,,,,909.5
500,1,1.293730,1.593232e-02,2.987310e-03,2.987310e-03,,,,,947.5
520,1,2.031709,1.589761e-02,2.980803e-03,2.980803e-03,,,,,985.3
540,1,1.556741,1.586291e-02,2.974295e-03,2.974295e-03,,,,,1023.1
560,1,1.704686,1.582820e-02,2.967787e-03,2.967787e-03,,,,,1061.0
580,1,1.758948,1.579349e-02,2.961280e-03,2.961280e-03,,,,,1098.7
600,1,1.363319,1.575879e-02,2.954772e-03,2.954772e-03,,,,,1136.4
620,1,1.727877,1.572408e-02,2.948265e-03,2.948265e-03,,,,,1174.2
640,1,1.227759,1.568937e-02,2.941757e-03,2.941757e-03,,,,,1211.9
660,1,1.590930,1.565466e-02,2.935249e-03,2.935249e-03,,,,,1249.6
