layer_idx,sublayer,dw_zero_ratio,dw_1lsb_ratio,dw_absmean,min_nonzero_delta,dw_absmax,dw_q90,dw_q99,pulse_sat_ratio,bound_sat_ratio,grad_absmean,grad_deadzone_ratio,update_vs_grad_cosine,eff_lr_slope,BL_mean,BL_p99,BL_hit_ratio,pulse_under_frac,pulse_ok_frac,pulse_over_frac,dw_fast_zero_ratio,dw_fast_1lsb_ratio,dw_fast_absmean,dw_slow_zero_ratio,dw_slow_1lsb_ratio,dw_slow_absmean,dw_fast_vs_grad_cosine,dw_fast_eff_lr_slope,hidden_absmean,hidden_absmax,hidden_below1_ratio,hidden_trunc_nonzero_ratio,hidden_trunc_meanabs,is_transfer_step,transfer_duty,transfer_spike,transfer_efficiency,buffer_above_thresh_ratio,is_transfer_scheduled,cols_updated_count,cols_updated_ratio,rows_updated_count,rows_updated_ratio,buffer_pre_nonzero_ratio,buffer_pre_absmean,buffer_post_nonzero_ratio,buffer_post_absmean,buffer_cleared_ratio,buffer_pre_above_gran_ratio,sign_mismatch_ratio,rel_update_error,BL_fp_mean,BL_fp_p99,BL_fp_hit_ratio,dw_p50,delta_L_pred,dw_fp_dot_dw_eff,cosine_slow_grad,cosine_slow_grad_nz,cosine_slow_fast,cosine_slow_fast_nz,trace_every
0,K,0.91244140625,0.0654296875,3.8902490996406416e-05,7.494068937376141e-05,0.0016086927615106105,2.6170653909503018e-05,0.0007134809653507546,0.0,0.0,0.0010219421498186422,0.42607421875,0.015748019058228237,0.0014473707715842465,3.79939453125,15.301707763671875,0.00337890625,0.22470703125,0.77216796875,0.003125,0.01,0.09232421875,0.021045642564515674,0.91244140625,0.001328125,0.0002479861229949165,0.25254027102142573,5.032872856957838,0.0,0.0,1.0,0.0,0.0,1.0,0.08755859375,4436178870.964795,0.6076447431827052,0.0,0.02,34.54,0.04497395833333333,43.19,0.05623697916666667,0.0,0.0,0.0,0.0,0.0,0.0,0.95458984375,249.4134150112358,0.1208984375,2.0256005859375,0.0,0.0,-3.103955397705249e-06,3.103955397705249e-06,0.016196653655497356,0.05219521886203438,-0.001193420912604779,-0.004528733377810568,1.0
0,O,0.91259765625,0.08353515625,2.2541691187143442e-05,4.353952594101429e-05,0.000864460949669592,1.5048593647861708e-05,0.0004133125540101901,0.0,0.0,0.0027061457798117773,0.18462890625,0.023948188037611545,0.0006084129626106005,14.4436328125,50.34903076171875,0.09466796875,0.0040625,0.90697265625,0.08896484375,0.0096875,0.088984375,0.02352325336425565,0.91259765625,0.001875,0.00023978871628060005,0.25394669485744087,2.2047083049453793,0.0,0.0,1.0,0.0,0.0,1.0,0.08740234375,4292816468.514502,0.03753211434900557,0.0,0.02,33.85,0.04407552083333333,42.95,0.05592447916666667,0.0,0.0,0.0,0.0,0.0,0.0,0.9528125,61.70011328877089,0.0937890625,1.054500732421875,0.0,0.0,-4.488352662406214e-06,4.488352662406214e-06,0.023005581612524112,0.07285755660035648,0.00044393988238880413,0.003560267855646089,1.0
0,Q,0.91328125,0.06560546875,3.791541175814928e-05,7.950012513902038e-05,0.0013847570365760474,1.0809470386448084e-05,0.0007083147927187383,0.0,0.0,0.0010916175328020473,0.38939453125,0.01758574004372349,0.0014532389951637014,5.40357421875,19.6164111328125,0.0072265625,0.039375,0.9539453125,0.0066796875,0.00994140625,0.0809375,0.022710721770381498,0.91328125,0.001328125,0.0002415288263000548,0.23273605407215656,4.7462773023173215,0.0,0.0,1.0,0.0,0.0,1.0,0.08671875,4370911445.003003,0.34445735079581136,0.0,0.02,33.86,0.04408854166666667,42.98,0.05596354166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.954765625,101.12825260125913,0.1182421875,2.0,0.0,0.0,-2.747413189041481e-06,2.747413189041481e-06,0.015348030106270016,0.054110214948213976,-0.00268626612087246,-0.011472689884249121,1.0
0,V,0.91275390625,0.08375,2.2911952410140657e-05,4.431718378327787e-05,0.0006515295314602553,1.1057862386678608e-05,0.00043058827373897656,0.0,0.0,0.0024215370073216035,0.20583984375,0.009575835053037735,0.0001834468841616399,8.19681640625,32.79791625976563,0.03302734375,0.0517578125,0.91763671875,0.03060546875,0.00986328125,0.10755859375,0.019358192531235545,0.91275390625,0.00197265625,0.0002451287052826956,0.2559696298558265,2.018454009182751,0.0,0.0,1.0,0.0,0.0,1.0,0.08724609375,4505777871.236205,0.09659381961466701,0.0,0.02,34.2,0.04453125,43.77,0.0569921875,0.0,0.0,0.0,0.0,0.0,0.0,0.95515625,213.03158581576426,0.09326171875,1.0756005859375,0.0,0.0,-3.0092021381733502e-06,3.0092021381733502e-06,0.011089410166605376,0.0361773248395184,0.0025983206200180576,0.014457092305528932,1.0
1,K,0.91494140625,0.06443359375,3.567116997146513e-05,7.817895617336035e-05,0.0010630956542445346,1.641428254515631e-05,0.0006747650491888635,0.0,0.0,0.0014399291355221067,0.34048828125,0.014316364090918797,0.0015924090165663075,7.61296875,39.0456298828125,0.02328125,0.03443359375,0.9438671875,0.02169921875,0.01,0.11361328125,0.017205388344104903,0.91494140625,0.001640625,0.00023831140075344592,0.22975692385225557,2.6674684260226784,0.0,0.0,1.0,0.0,0.0,1.0,0.08505859375,4346996694.803238,0.5609366062549399,0.0,0.02,33.97,0.04423177083333333,42.62,0.05549479166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.95591796875,118.18814092103027,0.11275390625,1.988900146484375,0.0,0.0,-2.4672637732692238e-06,2.4672637732692238e-06,0.013366470809996827,0.045572982324520124,0.002472789934836328,0.005630835480988025,1.0
1,O,0.9137890625,0.08212890625,2.192112658121914e-05,3.8485844888782595e-05,0.0008079710917081684,8.506978520017584e-06,0.00041110907623078676,0.0,0.0,0.0028478239660034888,0.16974609375,0.014063456423464231,0.00030050796254727175,15.24796875,51.89782958984375,0.1050390625,0.003671875,0.8972265625,0.0991015625,0.009921875,0.10548828125,0.01921201681216189,0.9137890625,0.001953125,0.00023659576967475005,0.2871791047230363,1.9356108264438807,0.0,0.0,1.0,0.0,0.0,1.0,0.0862109375,4260624095.331877,0.08871656387496449,0.0,0.02,33.7,0.04388020833333333,42.54,0.055390625,0.0,0.0,0.0,0.0,0.0,0.0,0.954921875,149.45497197706706,0.09220703125,1.0756005859375,0.0,0.0,-3.866553503257819e-06,3.866553503257819e-06,0.013779013164894422,0.045497519380878655,0.0059368481632554905,0.016380310722161083,1.0
1,Q,0.91318359375,0.066953125,3.574456881324295e-05,6.454702466726303e-05,0.0010728631226811559,2.0376390566525515e-05,0.0006600731424987316,0.0,0.0,0.0016972964632441289,0.31154296875,0.014545366497477516,0.0007694463890220504,8.5227734375,54.686455078125,0.0291015625,0.02642578125,0.94611328125,0.0274609375,0.0099609375,0.10595703125,0.018509685145099864,0.91318359375,0.00197265625,0.00023910121264634655,0.19862213812302798,2.266734071150422,0.0,0.0,1.0,0.0,0.0,1.0,0.08681640625,4310829015.448689,0.2635792665329217,0.0,0.02,34.14,0.044453125,43.84,0.05708333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.953828125,112.71303566778163,0.11427734375,1.986700439453125,0.0,0.0,-4.619487656043475e-06,4.619487656043475e-06,0.012881910930154845,0.04227863003849052,-0.004564160090085352,-0.016974898223415948,1.0
1,V,0.912578125,0.084453125,2.2311271095531993e-05,4.4959773076698185e-05,0.0006436934455996379,4.787890284205787e-06,0.0004119186507887207,0.0,0.0,0.0027128370391437786,0.1887109375,0.010436293259699596,0.00017330633959772968,16.23634765625,62.265152587890626,0.12037109375,0.00298828125,0.88326171875,0.11375,0.00986328125,0.1200390625,0.017303024767406895,0.912578125,0.00154296875,0.00024251102964626626,0.27673625158146026,1.6596162458509207,0.0,0.0,1.0,0.0,0.0,1.0,0.087421875,4350783752.743155,0.10771842530702759,0.0,0.02,34.39,0.04477864583333333,43.89,0.0571484375,0.0,0.0,0.0,0.0,0.0,0.0,0.95435546875,202.7954231882869,0.091953125,1.026700439453125,0.0,0.0,-3.0626258140387106e-06,3.0626258140387106e-06,0.012333281294559129,0.042263573475647714,0.008091370669135359,0.03258500803029165,1.0
2,K,0.91603515625,0.06185546875,3.771502582821995e-05,8.713041432201863e-05,0.0014181471231859177,8.798650305834599e-06,0.0007285721768857911,0.0,0.0,0.0011916796045261435,0.41318359375,0.009778869973961263,0.0007989175952661753,5.97533203125,27.178321533203125,0.0114453125,0.08275390625,0.90666015625,0.0105859375,0.034453125,0.16572265625,0.014489576742453209,0.91603515625,0.00107421875,0.00023467582475859673,0.22854711761523505,2.9350237098522483,0.0,0.0,1.0,0.0,0.0,1.0,0.08396484375,4305986186.955124,0.16355501234685282,0.0,0.02,34.35,0.0447265625,41.76,0.054375,0.0,0.0,0.0,0.0,0.0,0.0,0.95634765625,137.1092259508869,0.11646484375,2.02,0.0,0.0,-1.6623968409135159e-06,1.6623968409135159e-06,0.010786109428154304,0.03885863297851756,0.00324577824852895,0.012827251525595783,1.0
2,O,0.9146484375,0.082421875,2.1157583560125204e-05,4.8321387002943086e-05,0.000654651970253326,1.8449155322741718e-06,0.0003947142348624766,0.0,0.0,0.00341926398454234,0.152109375,0.017489594292856056,0.0002853406810550041,16.64140625,52.4784228515625,0.1276171875,0.0024609375,0.8778125,0.1197265625,0.0096875,0.10515625,0.019781642838861444,0.9146484375,0.00146484375,0.00023446969702490606,0.22671303808921947,1.3227127626724542,0.0,0.0,1.0,0.0,0.0,1.0,0.0853515625,4267843456.4732013,0.04077602645519251,0.0,0.02,33.22,0.04325520833333333,42.7,0.05559895833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9546875,242.1686677601587,0.0897265625,1.0356005859375,0.0,0.0,-4.646101310186168e-06,4.646101310186168e-06,0.01839658834011061,0.05552785749256145,0.0006610977120726602,0.0012458129285369069,1.0
