bits,dw_min,lr_analog,lr_digital,study_name,status,elapsed_min,f1,em
8,0.0078125,0.17533570625733738,0.9394481337559006,tpe_b8_t11_lrA1.75e-01_lrD9.39e-01,OK,51.3,76.73,
8,0.0078125,0.11643869049133365,0.3992723665146408,tpe_b8_t16_lrA1.16e-01_lrD3.99e-01,OK,51.3,76.43,
8,0.0078125,0.361906468300347,0.42129674891922886,tpe_b8_t17_lrA3.62e-01_lrD4.21e-01,OK,51.3,76.38,
8,0.0078125,0.13809450036302043,0.26110417476373404,tpe_b8_t13_lrA1.38e-01_lrD2.61e-01,OK,51.3,76.11,
8,0.0078125,0.042382004474015605,0.46195546854150354,tpe_b8_t08_lrA4.24e-02_lrD4.62e-01,OK,51.4,76.0,
8,0.0078125,0.05683687549874336,0.9766134260187395,tpe_b8_t02_lrA5.68e-02_lrD9.77e-01,OK,51.3,75.98,
8,0.0078125,0.21850913121607765,0.214487282533702,tpe_b8_t12_lrA2.19e-01_lrD2.14e-01,OK,51.2,75.47,
8,0.0078125,0.06552309461068775,0.20686260267076206,tpe_b8_t03_lrA6.55e-02_lrD2.07e-01,OK,51.4,75.4,
8,0.0078125,0.019540411848234594,0.8279308285826595,tpe_b8_t06_lrA1.95e-02_lrD8.28e-01,OK,51.3,75.4,
8,0.0078125,0.5528888095213821,0.14717786037309458,tpe_b8_t15_lrA5.53e-01_lrD1.47e-01,OK,51.3,75.0,
8,0.0078125,0.9274738494733734,0.1129682995480141,tpe_b8_t19_lrA9.27e-01_lrD1.13e-01,OK,51.4,74.74,
8,0.0078125,0.1538518064384024,0.07555923114921892,tpe_b8_t14_lrA1.54e-01_lrD7.56e-02,OK,51.2,74.55,
8,0.0078125,0.08798322170257669,0.061778122448863916,tpe_b8_t18_lrA8.80e-02_lrD6.18e-02,OK,51.3,73.26,
8,0.0078125,0.6581984814494728,0.047848828710507205,tpe_b8_t07_lrA6.58e-01_lrD4.78e-02,OK,51.3,72.88,
8,0.0078125,0.032430067119108355,0.015452178955314635,tpe_b8_t01_lrA3.24e-02_lrD1.55e-02,OK,51.4,68.49,
8,0.0078125,0.22343239028880466,0.014902610232068823,tpe_b8_t09_lrA2.23e-01_lrD1.49e-02,OK,51.3,68.45,
8,0.0078125,0.04932673945479153,0.01135780616110609,tpe_b8_t05_lrA4.93e-02_lrD1.14e-02,OK,51.3,67.63,
8,0.0078125,0.33195053736027114,0.008511930051358033,tpe_b8_t04_lrA3.32e-01_lrD8.51e-03,OK,51.4,65.13,
8,0.0078125,0.09754461323261454,0.00483336188898359,tpe_b8_t00_lrA9.75e-02_lrD4.83e-03,OK,51.6,60.43,
8,0.0078125,0.012658044982741049,0.0010416551586399558,tpe_b8_t10_lrA1.27e-02_lrD1.04e-03,OK,51.3,53.49,
10,0.001953125,0.01281682454746101,0.7620126366450585,tpe_b10_t03_lrA1.28e-02_lrD7.62e-01,OK,51.3,78.45,
10,0.001953125,0.10295244934174909,0.9581634952249065,tpe_b10_t19_lrA1.03e-01_lrD9.58e-01,OK,51.4,78.43,
10,0.001953125,0.011022428639726148,0.8164164112414285,tpe_b10_t11_lrA1.10e-02_lrD8.16e-01,OK,51.3,78.29,
10,0.001953125,0.0368288399167672,0.5381135991662515,tpe_b10_t12_lrA3.68e-02_lrD5.38e-01,OK,51.4,78.23,
10,0.001953125,0.010742217721913621,0.8588368535184073,tpe_b10_t15_lrA1.07e-02_lrD8.59e-01,OK,51.3,77.98,
10,0.001953125,0.010566253665724544,0.9584704628746444,tpe_b10_t10_lrA1.06e-02_lrD9.58e-01,OK,51.3,77.8,
10,0.001953125,0.03915387987323273,0.4430328943268862,tpe_b10_t17_lrA3.92e-02_lrD4.43e-01,OK,51.3,77.76,
10,0.001953125,0.054564625983200936,0.3773371509804629,tpe_b10_t09_lrA5.46e-02_lrD3.77e-01,OK,51.4,77.57,
10,0.001953125,0.019859380075179157,0.2432298211538969,tpe_b10_t14_lrA1.99e-02_lrD2.43e-01,OK,51.4,77.16,
10,0.001953125,0.18754551796374058,0.1969113931408353,tpe_b10_t05_lrA1.88e-01_lrD1.97e-01,OK,51.3,77.01,
10,0.001953125,0.15270985349502708,0.2053583621667737,tpe_b10_t16_lrA1.53e-01_lrD2.05e-01,OK,51.3,76.83,
10,0.001953125,0.7115528181682561,0.11111673059866851,tpe_b10_t08_lrA7.12e-01_lrD1.11e-01,OK,51.4,75.89,
10,0.001953125,0.015724213453957896,0.07250933625233338,tpe_b10_t02_lrA1.57e-02_lrD7.25e-02,OK,51.3,75.54,
10,0.001953125,0.02639619207293751,0.07165810318386083,tpe_b10_t01_lrA2.64e-02_lrD7.17e-02,OK,51.4,75.36,
10,0.001953125,0.9138159801871556,0.0365917306803648,tpe_b10_t04_lrA9.14e-01_lrD3.66e-02,OK,51.4,73.71,
10,0.001953125,0.33877440347479343,0.017908398041593884,tpe_b10_t06_lrA3.39e-01_lrD1.79e-02,OK,51.3,71.4,
10,0.001953125,0.3448344230042845,0.018603953752770935,tpe_b10_t07_lrA3.45e-01_lrD1.86e-02,OK,51.3,71.16,
10,0.001953125,0.017665413669398573,0.00797218552263768,tpe_b10_t18_lrA1.77e-02_lrD7.97e-03,OK,51.3,64.28,
10,0.001953125,0.07574657707921333,0.00489801069665931,tpe_b10_t13_lrA7.57e-02_lrD4.90e-03,OK,51.3,62.52,
10,0.001953125,0.44281332536973944,0.0011977162578030679,tpe_b10_t00_lrA4.43e-01_lrD1.20e-03,OK,51.7,55.85,
12,0.00048828125,0.12811265608920155,0.8637065576503808,tpe_b12_t13_lrA1.28e-01_lrD8.64e-01,OK,51.4,78.58,
12,0.00048828125,0.010561188502644933,0.4266997219826062,tpe_b12_t15_lrA1.06e-02_lrD4.27e-01,OK,51.4,78.5,
12,0.00048828125,0.010911747252150565,0.6470278924502303,tpe_b12_t11_lrA1.09e-02_lrD6.47e-01,OK,51.3,78.45,
12,0.00048828125,0.27569941027460937,0.979202218983085,tpe_b12_t09_lrA2.76e-01_lrD9.79e-01,OK,51.3,78.09,
12,0.00048828125,0.010404252991269573,0.8068793856700773,tpe_b12_t02_lrA1.04e-02_lrD8.07e-01,OK,51.5,77.91,
12,0.00048828125,0.03448289742727015,0.3275361500223148,tpe_b12_t16_lrA3.45e-02_lrD3.28e-01,OK,51.3,77.88,
12,0.00048828125,0.46352834567500734,0.3025713197886343,tpe_b12_t12_lrA4.64e-01_lrD3.03e-01,OK,51.3,77.82,
12,0.00048828125,0.019829640517035788,0.33977987440621304,tpe_b12_t18_lrA1.98e-02_lrD3.40e-01,OK,51.5,77.57,
12,0.00048828125,0.17117734678872604,0.600927241338458,tpe_b12_t07_lrA1.71e-01_lrD6.01e-01,OK,51.3,77.56,
12,0.00048828125,0.40064756909822064,0.18704063395896456,tpe_b12_t03_lrA4.01e-01_lrD1.87e-01,OK,51.4,77.21,
12,0.00048828125,0.023947601836969985,0.2001321833948079,tpe_b12_t06_lrA2.39e-02_lrD2.00e-01,OK,51.3,77.09,
12,0.00048828125,0.10125348611233115,0.09689891938849149,tpe_b12_t17_lrA1.01e-01_lrD9.69e-02,OK,51.3,76.21,
12,0.00048828125,0.9668492872574993,0.07561712701045227,tpe_b12_t10_lrA9.67e-01_lrD7.56e-02,OK,51.4,76.0,
12,0.00048828125,0.11273716623473509,0.08007472818320555,tpe_b12_t14_lrA1.13e-01_lrD8.01e-02,OK,51.3,75.93,
12,0.00048828125,0.023428979670028483,0.03587964889128818,tpe_b12_t01_lrA2.34e-02_lrD3.59e-02,OK,51.4,74.12,
12,0.00048828125,0.06069096738061853,0.01638257319468321,tpe_b12_t05_lrA6.07e-02_lrD1.64e-02,OK,51.4,70.18,
12,0.00048828125,0.06924141497697664,0.012294715706336671,tpe_b12_t00_lrA6.92e-02_lrD1.23e-02,OK,51.8,68.03,
12,0.00048828125,0.04469388098747402,0.005747289278593417,tpe_b12_t08_lrA4.47e-02_lrD5.75e-03,OK,51.4,63.08,
12,0.00048828125,0.13730978330911867,0.001983078658389664,tpe_b12_t19_lrA1.37e-01_lrD1.98e-03,OK,51.4,58.01,
12,0.00048828125,0.22027672133299186,0.0012273573465000527,tpe_b12_t04_lrA2.20e-01_lrD1.23e-03,OK,51.3,56.27,
14,0.0001220703125,0.014462555668736403,0.6330480803379009,tpe_b14_t11_lrA1.45e-02_lrD6.33e-01,OK,51.7,78.78,
14,0.0001220703125,0.010642436745481498,0.9711801654101052,tpe_b14_t15_lrA1.06e-02_lrD9.71e-01,OK,51.5,78.69,
14,0.0001220703125,0.09821959760779587,0.8871054335435891,tpe_b14_t13_lrA9.82e-02_lrD8.87e-01,OK,51.6,78.66,
14,0.0001220703125,0.07616170221974222,0.43919374623702523,tpe_b14_t09_lrA7.62e-02_lrD4.39e-01,OK,51.6,78.3,
14,0.0001220703125,0.019503307826691157,0.9537338173514728,tpe_b14_t10_lrA1.95e-02_lrD9.54e-01,OK,51.6,78.11,
14,0.0001220703125,0.01937280590237289,0.5112886222105594,tpe_b14_t18_lrA1.94e-02_lrD5.11e-01,OK,51.6,78.07,
14,0.0001220703125,0.010226185205677123,0.3113338537741274,tpe_b14_t16_lrA1.02e-02_lrD3.11e-01,OK,51.6,77.87,
14,0.0001220703125,0.05115557013367663,0.27548493834315513,tpe_b14_t02_lrA5.12e-02_lrD2.75e-01,OK,51.6,77.5,
14,0.0001220703125,0.027081537889952354,0.17647494755601653,tpe_b14_t19_lrA2.71e-02_lrD1.76e-01,OK,51.6,77.06,
14,0.0001220703125,0.010522619922284449,0.13975985723052536,tpe_b14_t12_lrA1.05e-02_lrD1.40e-01,OK,51.6,76.98,
14,0.0001220703125,0.017726855615296307,0.12616795692297203,tpe_b14_t17_lrA1.77e-02_lrD1.26e-01,OK,51.6,76.51,
14,0.0001220703125,0.1325961696565831,0.07996463686799488,tpe_b14_t14_lrA1.33e-01_lrD8.00e-02,OK,51.7,76.08,
14,0.0001220703125,0.19728322747504293,0.04451557270877392,tpe_b14_t07_lrA1.97e-01_lrD4.45e-02,OK,51.6,75.06,
14,0.0001220703125,0.03131115636528699,0.023759318282758946,tpe_b14_t03_lrA3.13e-02_lrD2.38e-02,OK,51.5,72.68,
14,0.0001220703125,0.5683329595678452,0.014961508494956761,tpe_b14_t04_lrA5.68e-01_lrD1.50e-02,OK,51.6,69.41,
14,0.0001220703125,0.9297874953421322,0.010005453963205908,tpe_b14_t00_lrA9.30e-01_lrD1.00e-02,OK,51.9,67.17,
14,0.0001220703125,0.5005887483086449,0.006251035347128564,tpe_b14_t08_lrA5.01e-01_lrD6.25e-03,OK,51.7,63.55,
